Organism,Sample,Dataset,Instrument,Separation Type,Type,Acquisition Start,Acquisition End,Scan Count,Acq Length,param_num
Kineococcus_radiotolerans_SRS30216,Kradi012,Kradi012_run2_13Aug08_Draco_08-07-15,LTQ_Orb_2,LC-ISCO-Standard,HMS-MSn,8/14/2008 2:00 AM,8/14/2008 3:39 AM,18083,99,3
Kosmotoga_olearia_TBF_19-5-1,K_olearia_iTRAQ4_40-65,Sample_4065_iTRAQ,VOrbiETD02,LC-Waters-Formic_4hr,HMS-HCD-HMSn,3/31/2012 11:41 AM,3/31/2012 8:51 PM,69430,550,4
Kosmotoga_olearia_TBF_19-5-1,K_olearia_50C_Soluble_Prot,K_50_soluble_01,VOrbiETD02,LC-Waters-IntactProtein_200min,HMS-ETD-HMSn,11/10/2011 1:54 PM,11/10/2011 7:45 PM,4688,351,1
Kosmotoga_olearia_TBF_19-5-1,K_olearia_50C_insoluble_Prot_prep2,K_50_insoluble_intact_04212012,VOrbiETD02,LC-Waters-IntactProtein_200min,HMS-HMSn,4/21/2012 4:15 PM,4/21/2012 8:45 PM,5792,270,1
Kosmotoga_olearia_TBF_19-5-1,K_olearia_65C_Soluble-2,K_olearia_65C_Soluble-2_4Apr12_Jaguar_12-02-26,LTQ_Orb_3,none,HMS-MSn,4/4/2012 11:51 PM,4/5/2012 1:30 AM,18846,99,0
Kosmotoga_olearia_TBF_19-5-1,K_olearia_40C_Soluble-2,K_olearia_40C_Soluble-2_4Apr12_Jaguar_12-02-26,LTQ_Orb_3,none,HMS-MSn,4/4/2012 3:36 PM,4/4/2012 5:15 PM,18692,99,0
Kosmotoga_olearia_TBF_19-5-1,K_olearia_iTRAQ4_50-65,Sample_5065_iTRAQ,VOrbiETD02,LC-Waters-Formic_4hr,HMS-HCD-HMSn,3/30/2012 10:59 PM,3/31/2012 8:09 AM,70131,550,4
Kosmotoga_olearia_TBF_19-5-1,K_olearia_50C_soluble_Prot_prep2,K_50_soluble_intact_04212012,VOrbiETD02,LC-Waters-IntactProtein_200min,HMS-HMSn,4/21/2012 11:16 AM,4/21/2012 3:46 PM,5974,270,1
Kosmotoga_olearia_TBF_19-5-1,K_olearia_65C_Soluble,K_65_soluble_02,VOrbiETD02,LC-Waters-IntactProtein_200min,HMS-ETD-HMSn,11/10/2011 10:16 PM,11/11/2011 4:06 AM,4259,350,1
Kosmotoga_olearia_TBF_19-5-1,K_olearia_iTRAQ4_50a,K_olearia_iTRAQ4_50a02May12_Legolas_11-07-64,VOrbiETD04,LC-Waters-Formic_5hr,HMS-HCD-HMSn,5/3/2012 2:11 PM,5/3/2012 7:11 PM,37353,300,4
Kosmotoga_olearia_TBF_19-5-1,K_olearia_50C_Soluble-2,K_olearia_50C_Soluble-2_4Apr12_Jaguar_12-02-26,LTQ_Orb_3,none,HMS-MSn,4/4/2012 8:04 PM,4/4/2012 9:43 PM,17965,99,0
Pelagibacter_ubique_HTC1062,Pubiq025,pubiq025_run1_23Dec06_OWL_06-12-04,LTQ_Orb_1,LC-ISCO-Standard,HMS-MSn,12/26/2006 12:04 PM,12/26/2006 1:44 PM,13262,100,0
Pelagibacter_ubique_HTC1062,P_ubique_SL_01,P_ubique_SL_01_run1_27Dec10_Falcon_10-12-06,LTQ_Orb_2,LC-ISCO-Formic_100minute,HMS-MSn,12/28/2010 12:15 PM,12/28/2010 1:54 PM,18183,99,0
Pelagibacter_ubique_HTC1062,P_ubique_SL_25,P_ubique_SL_25_run2_22Dec10_Falcon_10-11-07,LTQ_Orb_2,LC-ISCO-Formic_100minute,HMS-MSn,12/24/2010 4:20 PM,12/24/2010 6:00 PM,17916,100,0
Pelagibacter_ubique_HTC1062,P_ubique_NL_07,P_ubique_NL_07__Run1_14Jun11_Doc_11-04-06,LTQ_Orb_1,LC-ISCO-Formic_100minute,HMS-MSn,6/15/2011 10:22 PM,6/16/2011 12:01 AM,17509,99,0
Pelagibacter_ubique_HTC1062,P_ubique_LD_01,P_ubique_LD_01_Run3_17Sep11_Jaguar_11-06-26,VOrbiETD01,LC-Agilent-Formic_100minute,HMS-MSn,9/17/2011 6:16 PM,9/17/2011 7:55 PM,25091,99,0
Pelagibacter_ubique_HTC1062,P_ubique_NL_02,P_ubique_NL_02__Run2_14Jun11_Doc_11-02-10,LTQ_Orb_1,LC-ISCO-Formic_100minute,HMS-MSn,6/14/2011 6:29 PM,6/14/2011 8:08 PM,17408,99,0
Pelagibacter_ubique_HTC1062,P_ubique_NL_12,P_ubique_NL_12__Run3_14Jun11_Doc_11-04-06,LTQ_Orb_1,LC-ISCO-Formic_100minute,HMS-MSn,6/17/2011 8:15 AM,6/17/2011 9:54 AM,17576,99,0
Pelagibacter_ubique_HTC1062,P_ubique_SL_21,P_ubique_SL_21_Set2_1_11Apr11_Phoenix_11-02-53,VOrbiETD01,LC-ISCO-Formic_100minute,HMS-MSn,4/11/2011 1:29 PM,4/11/2011 3:08 PM,24684,99,0
Pelagibacter_ubique_HTC1062,P_ubique_SL_18,P_ubique_SL_18_Set2_2_5Apr11_Phoenix_11-02-56,VOrbiETD01,LC-ISCO-Formic_100minute,HMS-MSn,4/6/2011 6:31 PM,4/6/2011 8:10 PM,24068,99,0
